Timestamp,Kategori,Jenjang (Untuk Kategori Mahasiswa),Afiliasi Institusi/Lembaga/PT,Riset/Menekuni Bidang AI sejak,Kategori Bidang AI yang Ditekuni,"Detil Kategori (eg. Robotics, Face/Speech Recognition etc.)",Klaster Riset / Aplikasi AI yg Ditekuni,(Estimasi) Jumlah Publikasi di Bidang AI ,Jenis Publikasi di Bidang AI,Jumlah Produk / Startup Bidang AI,Jumlah Paten / Hak Cipta / HKI di Bidang AI,Sumber Pendanaan Aktivitas / Riset (Jika Ada),Catatan/Masukan
3/19/2020 9:15:33,Dosen / Peneliti Perguruan Tinggi,S3 - Disertasi,Sepuluh Nopember Institute of Technology,2-5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)",Data mining citra dan computers vision,"Teknologi Informasi dan Komunikasi, Pangan dan Kesehatan",6-10,"Konferensi, Jurnal",2,1,Perusahaan Dalam Negeri,Diberikan knowledge dan informasi kecerdasan buatan terkait di Peru
3/19/2020 9:19:58,Profesional,,University of Indonesia,1-2 Tahun,"Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.), Infrastruktur AI (Hardware, Open Source Frameworks, Syntetic Training Data, Cloud, Edge Computing, etc.)",Smart Speaker,Teknologi Informasi dan Komunikasi,1,Konferensi,2,0 (Belum Ada),Perusahaan Dalam Negeri,"Perlu dibuat lemabaga yang mengkoordinir penelitian2 di bidang AI di mana peneliti, investor dan pengguna dapat bertemu."
3/19/2020 10:13:54,Dosen / Peneliti Perguruan Tinggi,S3 - Disertasi,Dili Institute of Technology,2-5 Tahun,"Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.)",Text Mining,Pangan dan Kesehatan,3,Jurnal,0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/19/2020 10:20:10,Mahasiswa,S1 - Tugas Akhir,Piliteknik Elektronika Negeri Surabaya,1-2 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)",Robotics,"Rekayasa Transportasi dan Energi, Infrastruktur dan Kebencanaan",4,"Konferensi, Jurnal",0 (Belum Ada),0 (Belum Ada),"Institusi atau Universitas, Institusi/Lembaga/Perusahaan Luar Negeri",
3/19/2020 16:12:42,Dosen / Peneliti Perguruan Tinggi,,Universitas Komputer Indonesia,Lebih dari 5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)",Disaster forecasting,Meteorologi,6-10,"Konferensi, Jurnal",2,0 (Belum Ada),Institusi/Lembaga/Perusahaan Luar Negeri,
3/19/2020 17:13:24,Dosen / Peneliti Perguruan Tinggi,,Universitas Pendidikan Indonesia,Kurang dari 1 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.), Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.), Predictive Intelligence (Predictive Maintenance, Cyber Threat Hunting, Healthcare Biometric, etc.), Arsitektur AI (GANs, Reinforcement Learning, Federated Learning, Capsule Networks, etc.), Infrastruktur AI (Hardware, Open Source Frameworks, Syntetic Training Data, Cloud, Edge Computing, etc.), yang terkait dengan AI",IOT with AI,Teknologi Informasi dan Komunikasi,6-10,"Konferensi, Jurnal, Buku, Book Chapter",0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/19/2020 18:39:17,Dosen / Peneliti Perguruan Tinggi,S3 - Disertasi,Universitas Komputer Indonesia,Lebih dari 5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.), Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.), Arsitektur AI (GANs, Reinforcement Learning, Federated Learning, Capsule Networks, etc.), Fuzzy System","NLP, Image, Machine Learning","Teknologi Informasi dan Komunikasi, Pangan dan Kesehatan",11-20,"Konferensi, Jurnal",3,0 (Belum Ada),"Institusi atau Universitas, Institusi/Lembaga/Perusahaan Luar Negeri",Kolaborasi riset dan sharing data
3/19/2020 19:10:39,Dosen / Peneliti Perguruan Tinggi,S3 - Disertasi,Bogor Agricultural University,Lebih dari 5 Tahun,I,Robotics,Rekayasa Transportasi dan Energi,4,Jurnal,Lebih dari 3,0 (Belum Ada),,"Siap Melakukan Riset Bidang Teknik Elektro, Komputer, dan Kelautan"
3/19/2020 23:03:36,Dosen / Peneliti Perguruan Tinggi,S3 - Disertasi,UIN Sunan Gunung Djati Bandung,Lebih dari 5 Tahun,"Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.)","Sentument analysus, text summarization","Teknologi Informasi dan Komunikasi, Ilmu Sosial, Politik, Agama",Lebih dari 20,"Konferensi, Jurnal, Buku, Book Chapter",2,3,"Institusi atau Universitas, Institusi/Lembaga/Perusahaan Luar Negeri",
3/19/2020 23:13:54,Dosen / Peneliti Perguruan Tinggi,S1 - Tugas Akhir,Universitas komputer indonesia ,Lebih dari 5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)",Augmented reality,"Teknologi Informasi dan Komunikasi, Astronomi dan Basic Science",2,"Konferensi, Jurnal",0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
